date,cid,industry,amount
2012/9/1,國立政治大學,國文教學碩士在職專班,77
2012/9/1,國立政治大學,數學教學碩士在職專班,35
2012/9/1,國立政治大學,幼兒教育研究所,30
2012/9/1,國立政治大學,教育行政與政策研究所,44
2012/9/1,國立政治大學,學校行政碩士在職專班,87
2012/9/1,國立政治大學,台灣文學研究所,47
2012/9/1,國立政治大學,台灣文學研究所,10
2012/9/1,國立政治大學,中國文學系,385
2012/9/1,國立政治大學,中國文學系,82
2012/9/1,國立政治大學,中國文學系,59
2012/9/1,國立政治大學,英國語文學系,318
2012/9/1,國立政治大學,英國語文學系,56
2012/9/1,國立政治大學,英國語文學系英語教學碩士在職專班,42
2012/9/1,國立政治大學,英國語文學系,27
2012/9/1,國立政治大學,日本語文學系,174
2012/9/1,國立政治大學,日本語文學系,32
2012/9/1,國立政治大學,阿拉伯語文學系,179
2012/9/1,國立政治大學,韓國語文學系,172
2012/9/1,國立政治大學,韓國語文學系,5
2012/9/1,國立政治大學,土耳其語文學系,147
2012/9/1,國立政治大學,歐洲語文學系,313
2012/9/1,國立政治大學,歐洲語文學系--歐洲語言文化學程碩士在職專班,16
2012/9/1,國立政治大學,斯拉夫語文學系,231
2012/9/1,國立政治大學,斯拉夫語文學系,19
2012/9/1,國立政治大學,語言學研究所,41
2012/9/1,國立政治大學,語言學研究所,10
2012/9/1,國立政治大學,宗教研究所,34
2012/9/1,國立政治大學,宗教研究所,22
2012/9/1,國立政治大學,歷史學系,202
2012/9/1,國立政治大學,歷史學系,60
2012/9/1,國立政治大學,歷史學系,41
2012/9/1,國立政治大學,台灣史研究所,55
2012/9/1,國立政治大學,台灣史研究所,27
2012/9/1,國立政治大學,哲學系,188
2012/9/1,國立政治大學,哲學系,50
2012/9/1,國立政治大學,哲學系,34
2012/9/1,國立政治大學,經濟學系,411
2012/9/1,國立政治大學,經濟學系,48
2012/9/1,國立政治大學,經濟學系,28
2012/9/1,國立政治大學,政治學系,201
2012/9/1,國立政治大學,政治學系,60
2012/9/1,國立政治大學,政治學系,32
2012/9/1,國立政治大學,國家安全與大陸研究碩士在職專班,38
2012/9/1,國立政治大學,社會學系,218
2012/9/1,國立政治大學,社會學系,55
2012/9/1,國立政治大學,社會學系,19
2012/9/1,國立政治大學,民族學系,142
2012/9/1,國立政治大學,民族學系,40
2012/9/1,國立政治大學,民族學系,33
2012/9/1,國立政治大學,心理學系,207
2012/9/1,國立政治大學,心理學系,77
2012/9/1,國立政治大學,心理學系,23
2012/9/1,國立政治大學,輔導與諮商碩士學位學程,13
